service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
4_I12,0,0,0,0,0,1,0,20190416,20200415
4_I13,0,0,0,0,0,0,1,20190416,20200415
4_I14,1,1,1,1,0,0,0,20190416,20200415
4_I15,0,0,0,0,1,0,0,20190416,20200415
